City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,Margate,GB,60.69,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
1,Los Llanos De Aridane,ES,69.12,broken clouds,28.6585,-17.9182,Valle Aridane
3,Ballina,AU,67.96,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
4,Ribeira Grande,PT,73.18,broken clouds,38.5167,-28.7,Quinta da Meia Eira
6,Jinchang,CN,73.36,broken clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
11,Port Elizabeth,ZA,61.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
12,East London,ZA,62.44,scattered clouds,-33.0153,27.9116,Tu Casa
15,Albany,US,71.47,moderate rain,42.6001,-73.9662,
17,Valparaiso,CL,75.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
18,Boyuibe,BO,67.91,broken clouds,-20.4167,-63.2833,Residencial Eluzai
21,Rikitea,PF,69.1,scattered clouds,-23.1203,-134.9692,People ThankYou
23,Isangel,VU,69.91,broken clouds,-19.55,169.2667,Tanna Lodge
24,Nikolskoye,RU,62.4,scattered clouds,59.7035,30.7861,Tourist House - Sablino
25,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Batamshinskiy,KZ,67.98,scattered clouds,50.5594,58.2747,
29,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
31,North Vanlaiphai,IN,63.23,overcast clouds,23.1333,93.0667,VL Lungmuana In
33,Vaini,TO,73.56,light rain,-21.2,-175.2,Keleti Beach Resort
35,Avarua,CK,75.25,moderate rain,-21.2078,-159.775,Paradise Inn
36,Khatanga,RU,63.79,scattered clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
39,Clarence Town,AU,60.85,overcast clouds,-32.5833,151.7833,River Downs Cottage
43,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
44,Homer,US,74.08,clear sky,59.6425,-151.5483,Beluga Lake Lodge
47,Padang,ID,74.84,overcast clouds,-0.9492,100.3543,Mercure Padang
49,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
53,Portales,US,79.48,overcast clouds,34.1862,-103.3344,"Holiday Inn Express & Suites Portales, an IHG Hotel"
59,Ati,TD,77.11,overcast clouds,13.2154,18.3353,
63,Port Alfred,ZA,61.25,scattered clouds,-33.5906,26.891,The Halyards Hotel
64,Atuona,PF,77.11,scattered clouds,-9.8,-139.0333,Villa Enata
69,Airai,TL,61.36,few clouds,-8.9266,125.4092,Juvinal Martin
70,Sibiti,CG,69.93,overcast clouds,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
71,Praia Da Vitoria,PT,74.75,light intensity drizzle,38.7333,-27.0667,Hotel Branco I
74,Korla,CN,74.71,overcast clouds,41.7597,86.1469,Gulisitan Hotel
75,Kabare,CD,63.9,overcast clouds,-2.4683,28.8242,Hôtel Panorama
76,Marrakesh,MA,71.67,few clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
78,Jamestown,US,69.39,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
79,Vila Velha,BR,71.96,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
80,Kodiak,US,60.31,broken clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
81,Saint-Pierre,RE,67.64,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
83,Ilulissat,GL,62.62,clear sky,69.2167,-51.1,Hotel Arctic
84,Marevo,RU,61.34,overcast clouds,57.3146,32.0804,"Ivushka, Gostinitsa"
87,Okhotsk,RU,62.69,clear sky,59.3833,143.3,
88,Boende,CD,72.79,overcast clouds,-0.2167,20.8667,
91,Lagoa,PT,71.85,scattered clouds,39.05,-27.9833,Casa Das Faias
92,Carutapera,BR,74.39,broken clouds,-1.195,-46.02,Lidera
99,Lingao,CN,78.84,moderate rain,19.9103,109.6859,Lingao Ditai Inn
102,Souillac,MU,66.58,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
104,Tocopilla,CL,64.02,overcast clouds,-22.092,-70.1979,Hotel Galvarino
106,Saint-Joseph,RE,64.78,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
107,Poum,NC,69.22,clear sky,-20.2333,164.0167,Gîte kajeon
108,Bengkulu,ID,73.58,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
109,Saint-Leu,RE,65.26,few clouds,-21.15,55.2833,La Caz Oceane
110,Narsaq,GL,64.62,light rain,60.9167,-46.05,Narsaq Kayak Hostel
117,Taltal,CL,60.35,few clouds,-25.4,-70.4833,Residencial Karime
121,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
123,Arona,ES,65.01,clear sky,28.0996,-16.681,Paradise Court
124,Ottawa,CA,67.75,broken clouds,45.4112,-75.6981,Delta Hotels by Marriott Ottawa City Centre
125,Ciudad Bolivar,VE,78.33,few clouds,8.1222,-63.5497,Hotel Edi
129,Camacha,PT,68.76,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
130,Saskylakh,RU,74.61,clear sky,71.9167,114.0833,
136,Ikom,NG,72.63,light rain,5.9667,8.7063,Reho Farm & Resort
137,Ambilobe,MG,67.42,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
139,Baoying,CN,78.08,light rain,33.2292,119.3092,GreenTree Alliance Yangzhou Baoying Town Huaijiang Street East Taishan Road Hotel
143,Erzin,TR,79.52,clear sky,36.9559,36.2,Artemis Otel
145,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,El Medina
146,Cassilandia,BR,68.29,clear sky,-19.1133,-51.7342,Delirius Motel
147,Aksu,CN,74.52,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
153,Saint-Philippe,RE,67.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
156,Faanui,PF,77.63,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
160,Bethel,US,73.76,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
162,Uruzgan,AF,73.27,clear sky,32.8333,66.0,
166,Nioro,GM,75.88,broken clouds,13.35,-15.75,
168,Sayat,TM,76.87,clear sky,38.7839,63.8803,
169,Mahebourg,MU,66.49,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
170,Toledo,ES,76.08,broken clouds,39.8333,-4.0,Hotel Carlos V Toledo
173,Shache,CN,72.84,overcast clouds,38.4167,77.2406,Delong Hotel
175,Fairbanks,US,77.34,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
176,Nsanje,MW,61.63,clear sky,-16.92,35.262,Nsanje Discovery Lodge
177,Craig,US,78.17,clear sky,40.5153,-107.5464,"Candlewood Suites Craig-Northwest, an IHG Hotel"
181,Torbay,CA,66.97,scattered clouds,47.6666,-52.7314,Gallows Cove
