City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Margate,GB,2021-08-01 22:34:26,51.3813,1.3862,60.69,83,97,1.99,overcast clouds
1,Los Llanos De Aridane,ES,2021-08-01 22:36:59,28.6585,-17.9182,69.12,68,75,19.57,broken clouds
2,Punta Arenas,CL,2021-08-01 22:32:14,-53.15,-70.9167,42.91,75,40,17.27,scattered clouds
3,Ballina,AU,2021-08-01 22:41:00,-28.8667,153.5667,67.96,77,90,10.36,overcast clouds
4,Ribeira Grande,PT,2021-08-01 22:34:00,38.5167,-28.7,73.18,94,63,13.49,broken clouds
5,Hamilton,US,2021-08-01 22:34:41,39.1834,-84.5333,80.73,62,20,3.0,haze
6,Jinchang,CN,2021-08-01 22:38:00,38.4953,102.1739,73.36,37,79,3.22,broken clouds
7,Rundu,NA,2021-08-01 22:43:05,-17.9333,19.7667,55.49,44,0,6.33,clear sky
8,Bluff,NZ,2021-08-01 22:35:55,-46.6,168.3333,44.8,82,98,6.35,overcast clouds
9,Cape Town,ZA,2021-08-01 22:35:37,-33.9258,18.4232,57.11,84,20,1.01,few clouds
10,Hasaki,JP,2021-08-01 22:36:02,35.7333,140.8333,82.62,82,11,6.49,few clouds
11,Port Elizabeth,ZA,2021-08-01 22:31:54,-33.918,25.5701,61.09,72,75,29.93,broken clouds
12,East London,ZA,2021-08-01 22:35:29,-33.0153,27.9116,62.44,63,31,19.48,scattered clouds
13,Hermanus,ZA,2021-08-01 22:35:39,-34.4187,19.2345,56.89,80,95,0.54,overcast clouds
14,Pangody,RU,2021-08-01 22:43:06,65.85,74.4859,59.34,61,100,13.09,overcast clouds
15,Albany,US,2021-08-01 22:35:32,42.6001,-73.9662,71.47,84,89,6.73,moderate rain
16,Dikson,RU,2021-08-01 22:35:48,73.5069,80.5464,40.12,99,98,9.08,overcast clouds
17,Valparaiso,CL,2021-08-01 22:43:06,-33.0393,-71.6273,75.43,55,0,9.22,clear sky
18,Boyuibe,BO,2021-08-01 22:43:06,-20.4167,-63.2833,67.91,36,79,1.23,broken clouds
19,Mehamn,NO,2021-08-01 22:43:07,71.0357,27.8492,44.83,93,100,19.42,light rain
20,Rodrigues Alves,BR,2021-08-01 22:43:07,-7.738,-72.6509,86.2,61,44,0.47,scattered clouds
21,Rikitea,PF,2021-08-01 22:33:00,-23.1203,-134.9692,69.1,57,42,20.92,scattered clouds
22,New Norfolk,AU,2021-08-01 22:36:15,-42.7826,147.0587,42.75,85,31,2.73,scattered clouds
23,Isangel,VU,2021-08-01 22:36:02,-19.55,169.2667,69.91,83,75,5.75,broken clouds
24,Nikolskoye,RU,2021-08-01 22:35:44,59.7035,30.7861,62.4,93,40,4.9,scattered clouds
25,Puerto Ayora,EC,2021-08-01 22:36:07,-0.7393,-90.3518,78.76,89,53,5.99,broken clouds
26,Whitehorse,CA,2021-08-01 22:37:59,60.7161,-135.0538,83.17,21,20,3.44,few clouds
27,Batamshinskiy,KZ,2021-08-01 22:43:08,50.5594,58.2747,67.98,53,25,7.99,scattered clouds
28,Berbera,SO,2021-08-01 22:43:08,10.4396,45.0143,90.91,37,31,25.84,scattered clouds
